photo_id,kmeans_label,hdbscan_label,kmeans_k,index,username,category,lat,long,is_llava_imputed,hdbscan_label_original,hdbscan_label_assigned
dd0d1aaa-eca1-4a90-96eb-b70bacb6641b,2,7,9,0,bueelma,works_well,47.541534,8.698053,False,7,7
7f62e6ce-c9f1-4835-98e6-77833cccfba7,1,3,9,1,bueelma,works_well,47.554565,8.694488,False,3,3
a5425307-1419-4053-8d59-4a082f1142c5,2,7,9,2,fabribg,works_well,47.42291,8.684185,False,7,7
1c08511a-6117-4448-95f8-38ed5f95d866,3,1,9,3,fabribg,works_well,47.42291,8.684185,False,1,1
004d06c7-cafc-4d73-8bf3-c2d1b261370e,2,7,9,4,fabribg,works_well,47.378227,8.537673,False,7,7
9886c266-6082-41b5-9745-209443482aa9,3,-1,9,5,emilie,works_well,47.501602,8.751952,False,-1,1
2ac6377f-34ca-4065-a26e-a5edf9762c08,8,-1,9,6,emilie,works_well,47.501602,8.751954,True,-1,1
7e2282a4-8aab-4360-bdec-8def12ff5a96,4,-1,9,7,emilie,works_well,47.50161,8.751953,False,-1,5
a66bf013-3f54-42dc-b946-23173cb9fb17,4,-1,9,8,noahb,works_well,47.38898,8.507662,False,-1,5
773c6331-5aa5-43ef-b5ef-6c8610d8ef39,2,-1,9,9,fabribg,works_well,47.50247,8.764328,False,-1,7
df5d92d8-e862-4648-bd03-8281674a439f,2,-1,9,10,fabribg,works_well,47.499924,8.762438,False,-1,7
cdd7c221-ed60-4f44-8c8e-2b648490bd6d,2,7,9,11,fabribg,works_well,47.49579,8.741632,False,7,7
f0e044e4-6385-4b98-ba23-dcca442c279f,2,-1,9,12,fabribg,works_well,47.49674,8.740428,False,-1,6
6bd90447-2ff9-402a-b931-7de9b50bdc92,3,-1,9,13,andrewdd8400,works_well,47.503014,8.767903,False,-1,6
95eff575-36bc-4bd6-b9ef-5fab0b9ee256,2,-1,9,14,andrewdd8400,works_well,47.502613,8.765862,False,-1,7
79a856d4-ce5f-4d19-aa08-647bfa2b5fc5,4,5,9,15,noahb,works_well,47.305973,8.448873,False,5,5
0ad20697-59d5-4758-8be6-f9f7b3b599cf,2,7,9,16,navin,works_well,47.497852,8.716176,False,7,7
6794828e-3465-4c1e-960f-a9ced0691437,6,-1,9,17,noahb,works_well,47.29661,8.447476,False,-1,4
75006f50-a630-4838-91e1-d18b7704ecd7,2,-1,9,18,navin,works_well,47.496235,8.713979,False,-1,7
ffc38151-2794-48d7-a9f9-ed8788071fe0,4,-1,9,19,emilie,works_well,47.50161,8.751913,False,-1,5
ca2eb3b3-3dfb-4d5c-bb21-3e8b1090deb2,3,-1,9,20,ernst,works_well,47.490074,8.717019,False,-1,1
f368942b-51b3-4830-9deb-383d0f4aa95b,1,-1,9,21,ernst,works_well,47.49016,8.717011,False,-1,7
b991490b-d245-4295-bf0f-a326fef96f12,6,0,9,22,wenger,works_well,47.49872,8.7243185,False,0,0
d51807a7-5f48-462b-b076-1d38cd002f19,2,-1,9,23,wenger,works_well,47.497776,8.716852,False,-1,7
35be8ff4-2b42-426f-84e6-e55807f6ffd0,8,-1,9,24,wenger,works_well,47.50154,8.723366,True,-1,7
12f63da3-c779-48bc-8cd7-817f5a0eb10c,0,2,9,25,vicente,works_well,47.348713,8.574797,False,2,2
b7ee1818-a318-4309-a963-587e9187bbe5,8,2,9,26,csd,works_well,,,True,2,2
22764211-f0d9-4320-bc23-58badf0923cc,4,5,9,27,noahb,works_well,47.499527,8.722849,False,5,5
86555786-1610-4400-b30e-9b7c09195018,0,2,9,28,noahb,works_well,47.27637,8.446775,False,2,2
203de081-6da6-4651-ab37-4c6675041e56,4,5,9,29,noahb,works_well,47.26372,8.423975,False,5,5
2b0f9bb2-5f1a-428e-b9f9-fc57ceea03be,4,5,9,30,noahb,works_well,47.26372,8.423975,False,5,5
ab37489c-c669-4a76-9cca-51a4d6a0db81,0,2,9,31,simon_meili,works_well,,,False,2,2
54edf37b-a554-48f5-a58a-535138f8a775,0,2,9,32,nm,works_well,,,False,2,2
1ba67aaa-8885-45d9-ab4f-ff28078224bb,0,2,9,33,nm,works_well,,,False,2,2
72dd05da-273b-476e-8128-417d7f09fdf8,0,2,9,34,nm,works_well,,,False,2,2
a6f0fc21-00b3-46e0-aa63-ec9b19e0ac05,0,2,9,35,nm,works_well,,,False,2,2
2cff1bd8-6930-4f21-8846-4063e26e1ac0,0,2,9,36,nm,works_well,,,False,2,2
ffd8478b-a20d-4094-8394-06799714ffc6,1,3,9,37,miqilo,works_well,47.497894,8.729684,True,3,3
e79b1318-6f86-4e24-895c-f8ba2652771c,4,5,9,38,xolivier,works_well,,,False,5,5
9dcdb55a-971e-44d5-b01d-72ab37c3eb30,4,-1,9,39,rojan,works_well,47.4983,8.731007,False,-1,5
bf25b9f6-5e9c-4c97-a7bc-b72ddf482ad6,1,-1,9,40,miqilo,works_well,47.498528,8.725016,False,-1,7
6fafb616-53b3-4723-b2c3-d7120d81a3f3,2,7,9,41,teri284,works_well,,,False,7,7
ac50afed-0dd4-4178-a502-988606879ae0,1,3,9,42,rojan,works_well,47.500385,8.7307625,False,3,3
f6af2856-f44e-4759-9d01-a4eaa8aaf27d,3,1,9,43,xolivier,works_well,,,False,1,1
96e111c4-5e9b-42e0-8f15-692a68e1b1e3,4,-1,9,44,c_real,works_well,47.499687,8.723647,False,-1,5
b5ab3e7c-9e91-45a4-8a73-ffa475182b7e,2,-1,9,45,john,works_well,47.499638,8.723671,False,-1,7
05e18e86-2289-413c-8a63-e658ebdad90d,1,7,9,46,philemon,works_well,47.499454,8.723809,False,7,7
4a253e01-abb9-4aa4-8e5e-6d2496ed3cbb,2,7,9,47,philemon,works_well,47.499454,8.723809,False,7,7
c3be7987-1ee3-4336-aa3c-851bc539a7ff,4,-1,9,48,miqilo,works_well,47.499496,8.723418,False,-1,5
c582ca9c-1224-4cf0-94d4-77d3cea3b188,2,7,9,49,rojan,works_well,47.50046,8.732921,False,7,7
287060c6-a6d3-4918-8f59-73584a55f223,6,4,9,50,c_real,works_well,47.499744,8.723533,False,4,4
